dt,lat,lng,altitude,angle,speed,params
2022-05-18 02:32:10,3.844245,11.496107,696,38,0,"gpslev=16, gsmlev=5, hdop=0.3, io1=0, io16=19342785, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 02:35:10,3.844245,11.496107,696,38,0,"gpslev=17, gsmlev=5, hdop=0.3, io1=0, io16=19342785, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 02:38:09,3.844245,11.496107,696,38,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342785, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:41:10,3.844245,11.496107,696,38,0,"gpslev=17, gsmlev=5, hdop=0.3, io1=0, io16=19342785, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 02:44:10,3.844245,11.496107,696,38,0,"gpslev=18, gsmlev=5, hdop=0.3, io1=0, io16=19342785, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:47:11,3.844245,11.496107,696,38,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342785, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:50:11,3.844288,11.496128,699,343,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342789, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13298, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:53:12,3.844288,11.496128,699,343,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342789, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:56:12,3.844292,11.496152,699,7,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:59:13,3.844292,11.496152,699,7,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.7"
